,Composite Sample Number,Composite Sample Name,Sub-sample Number,Sub-sample Name,Brand,Pack size,Purchase Date,Place of Purchase,Display Until Date,Best Before Date,Batch Number,Packaging,Sample Condition As Purchased,Post Purchase Storage
641,30 ,"Avocado pear, raw, flesh only  ",30.11  ,Bidvest Foodservice avocado  ,Bidvest Foodservice  ,Purchase Date:  ,14.10.15  ,Bidvest Foodservice delivery  ,Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,21ºC controlled temperature room  
643,31 ,"Sweet potato, boiled, flesh only  ",31.1 ,Tesco sweet potatoes  ,Tesco  ,1kg ,07.12.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC:HY01(D) 4815IH  ,Plastic  ,Ambient  ,21ºC controlled temperature room  
645,31 ,"Sweet potato, boiled, flesh only  ",31.2 ,Tesco sweet potatoes  ,Tesco  ,1kg ,05.01.16  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC:HY01(D) 5215CL  ,Plastic  ,Ambient  ,21ºC controlled temperature room  
647,31 ,"Sweet potato, boiled, flesh only  ",31.3 ,Asda Grower’s Selection sweet potatoes  ,Asda Grower’s Selection  ,1kg ,07.12.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,16:47 Batch: 794077 Site:900326 ASP1501783  ,Plastic  ,Ambient  ,21ºC controlled temperature room  
649,31 ,"Sweet potato, boiled, flesh only  ",31.4 ,Sainsbury’s sweet potato  ,Sainsbury’s  ,1.25kg  ,07.12.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,B0090B 1191417 11.14  ,Plastic netting  ,Ambient  ,21ºC controlled temperature room  
651,31 ,"Sweet potato, boiled, flesh only  ",31.5 ,Morrisons sweet potato  ,Morrisons  ,Purchase Date:  ,07.12.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,21ºC controlled temperature room  
653,31 ,"Sweet potato, boiled, flesh only  ",31.6 ,M&S sweet potatoes  ,Marks & Spencer  ,1kg ,07.12.15  ,"Marks & Spencer, Sweet Briar Retail Park, Norwich  ",Best before Date:  ,,SC2045  ,Plastic  ,Ambient  ,21ºC controlled tempearature room  
655,31 ,"Sweet potato, boiled, flesh only  ",31.7 ,Lidl sweet potatoes  ,Lidl ,Purchase Date:  ,07.12.15  ,"Lidl, Drayton Road, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,21ºC controlled temperature room  
657,31 ,"Sweet potato, boiled, flesh only  ",31.8 ,Morrisons sweet potatoes  ,Morrisons  ,Min. 5  ,07.12.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,226123 TH1JOK 3 40 09:30 ED BG53700584 8600 ,Plastic  ,Ambient  ,21ºC controlled temperature room  
659,31 ,"Sweet potato, boiled, flesh only  ",31.9 ,The Co -operative sweet potatoes  ,The Co -operative  ,Purchase Date:  ,07.12.15  ,"The Co -operative, Long Stratton , Norfolk  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,21ºC controlled temperature room  
661,31 ,"Sweet potato, boiled, flesh only  ",31.10  ,Greengrocer sweet potatoes  ,Pack size:  ,Purchase Date:  ,09.12.15  ,"Independent greengrocer, Gloucester Road, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,21ºC controlled temperature room  
663,31 ,"Sweet potato, boiled, flesh  only ",31.11  ,Bidvest Foodservice sweet potatoes  ,Bidvest Foodservice  ,6kg net  ,12.01.15  ,Bidvest Foodservice delivery  ,Best before Date:  ,,Sanitary Registration Number:21.007547/CA  ,Loose in cardboard  ,Ambient  ,21ºC controlled temperature room  
665,32 ,"Sweet potato, wedges, baked  in rapeseed oil , flesh and ",32.1 ,Tesco sweet potatoes  ,Tesco  ,1kg ,07.12.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC:HY01(D) 4815IH  ,Plastic  ,Ambient  ,21ºC controlled temperature room  
667,32 ,"Sweet potato, wedges, baked in rapeseed oil , flesh and ",32.2 ,Tesco sweet potatoes  ,Tesco  ,1kg ,05.01.16  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC:HY01(D) 5215CL  ,Plastic  ,Ambient  ,21ºC controlled temperature room  
669,32 ,"Sweet potato, wedges, baked in rapeseed oil , flesh and ",32.3 ,Asda Grower’s Selection sweet potatoes  ,Asda Grower’s Selection  ,1kg ,07.12.15  ,"Asda, Boundary  Road, Norwich  ",Best before Date:  ,,16:47 Batch: 794077 Site:900326 ASP1501783  ,Plastic  ,Ambient  ,21ºC controlled temperature room  
671,32 ,"Sweet potato, wedges, baked in rapeseed oil , flesh and ",32.4 ,Sainsbury’s sweet potato  ,Sainsbury’s  ,1.25kg  ,07.12.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,B0090B 1191417 11.14  ,Plastic netting  ,Ambient  ,21ºC controlled temperature room  
673,32 ,"Sweet potato, wedges, baked in rapeseed oil , flesh and ",32.5 ,Morrisons sweet potato  ,Morrisons  ,Purchase Date:  ,07.12.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,21ºC controlled temperature room  
675,32 ,"Sweet potato, wedges, baked in rapeseed oil , flesh and ",32.6 ,M&S sweet potatoes  ,Marks & Spencer  ,1kg ,07.12.15  ,"Marks & Spencer, Sweet Briar Retail Park, Norwich  ",Best before Date:  ,,SC2045  ,Plastic  ,Ambient  ,21ºC controlled temperature room  
677,32 ,"Sweet potato, wedges, baked in rapeseed oil , flesh and ",32.7 ,Lidl sweet potatoes  ,Lidl ,Purchase Date:  ,07.12.15  ,"Lidl, Drayton Road, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,21ºC controlled temperature room  
679,32 ,"Sweet potato, wedges, baked in rapeseed oil , flesh and ",32.8 ,Morrisons sweet potatoes  ,Morrisons  ,Min. 5  ,07.12.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,226123 TH1JOK 3 40 09:30 ED BG53700584 8600 ,Plastic  ,Ambient  ,21ºC controlled temperature room  
681,32 ,"Sweet potato, wedges, baked in rapeseed oil , flesh and ",32.9 ,The Co -operative sweet potatoes  ,The Co -operative  ,Purchase Date:  ,07.12.15  ,"The Co -operative, Long Stratton  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,21ºC controlled temperature room  
683,32 ,"Sweet potato, wedges, baked in rapeseed oil , flesh and ",32.10  ,Greengrocer sweet potatoes  ,Pack size:  ,Purchase Date:  ,09.12.15  ,"Independent greengrocer, Gloucester Road, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,21ºC controlled temperature room  
685,32 ,"Sweet potato, wedges, baked in rapeseed oil , flesh and ",32.11  ,Bidvest Foodservice sweet potatoes  ,Bidvest Foodservice  ,6kg net  ,12.01.15  ,Bidvest Foodservice delivery  ,Best before Date:  ,,Sanitary Registration Number:21.007547/CA  ,Loose in cardboard  ,Ambient  ,21ºC controlled temperature room  
687,33 ,"Broad beans, fresh, boiled  ",33.1 ,Tesco British broad beans  ,Tesco  ,500g  ,11.08.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,S4 6 12:52 SC 212977 (BOB01)  ,Plastic  ,Chilled  ,Chilled  
689,33 ,"Broad beans, fresh, boiled  ",33.2 ,Tesco British broad beans  ,Tesco  ,500g  ,17.08.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,S4 2 11:54 SC 212977 (BOB01)  ,Plastic  ,Chilled  ,Chilled  
691,33 ,"Broad beans, fresh, boiled  ",33.3 ,Tesco broad beans  ,Tesco  ,500g  ,22.09.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC 212977 (BOB01)  ,Plastic  ,Chilled  ,Chilled  
693,33 ,"Broad beans, fresh, boiled  ",33.4 ,Asda Grower’s Selection broad beans  ,Asda Grower’s Selection  ,500g  ,11.08.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,Site:550307 ASP1507907  ,Plastic  ,Chilled  ,Chilled  
695,33 ,"Broad beans, fresh, boiled  ",33.5 ,Sainsbury’s broad beans  ,Sainsbury’s  ,500g  ,11.08.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,K0022 1383478 04.14  ,Plastic  ,Chilled  ,Chilled  
697,33 ,"Broad beans, fresh, boiled  ",33.6 ,Morrisons broad beans  ,Morrisons  ,500g  ,11.08.15  ,"Morrisons, Albion way, Norwich  ",Best before Date:  ,,2624 T47598/0514  ,Plastic  ,Chilled  ,Chilled  
699,33 ,"Broad beans, fresh, boiled  ",33.7 ,Essential Waitrose broad beans  ,Essential Waitrose  ,500g  ,11.08.15  ,"Waitrose, Eaton , Norwich  ",13.08.15  ,,284AAS 04.15  ,Plastic  ,Chilled  ,Chilled  
701,33 ,"Broad beans, fresh, boiled  ",33.8 ,Asda Grower’s Selection British broad beans  ,Asda Grower’s Selection  ,500g  ,19.10.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,Site:550522 ASP1419787  ,Plastic  ,,Chilled  
703,33 ,"Broad beans, fresh, boiled  ",33.9 ,M&S British broad beans  ,Marks & Spencer  ,450g  ,19.10.15  ,"Marks & Spencer, Sweet Briar Retail Park, Norwich  ",Best before Date:  ,,SC4146  ,Plastic  ,Chilled  ,Chilled  
705,33 ,"Broad beans, fresh, boiled  ",33.10  ,Tesco broad beans  ,Tesco  ,500g  ,16.10.15  ,"Tesco Extra, Blue Boar Road, Norwich  ",Best before Date:  ,,SC:WD03  ,Plastic  ,Chilled  ,Chilled  
707,33 ,"Broad beans, fresh, boiled  ",33.11  ,Market broad beans  ,Pack size:  ,Purchase Date:  ,12.08.15  ,"Independent market stall, Norwich Market  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
709,34 ,"Curly kale, fresh, boiled  ",34.1 ,Tesco British curly kale  ,Tesco  ,206g  ,26.10.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC:EM01 S1 297 00:56  ,Plastic  ,Chilled  ,Chilled  
711,34 ,"Curly kale, fresh, boiled  ",34.2 ,Tesco British curly kale  ,Tesco  ,206g  ,26.10.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC:EM01 S2296 04:54  ,Plastic  ,Chilled  ,Chilled  
713,34 ,"Curly kale, fresh, boiled  ",34.3 ,Asda Grower’s Selection British unwashed sliced curly ,Asda Grower’s Selection  ,200g  ,26.10.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,Site: 730000 Batch: E 06671 SK297 01 36 ASP1420386  ,Plastic  ,Chilled  ,Chilled  
715,34 ,"Curly kale, fresh, boiled  ",34.4 ,Sainsbury’s curly leaf kale  ,Sainsbury’s  ,200g  ,26.10.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,296 19:02 M0259J 6008871 11.14  ,Plastic  ,Chilled  ,Chilled  
717,34 ,"Curly kale, fresh, boiled  ",34.5 ,Morrisons prepared kale  ,Morrisons  ,200g  ,26.10.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,SK 297 14:57 E 01525 1825/WRA 1825 T47613/0514 ,Plastic  ,Chilled  ,Chilled  
719,34 ,"Curly kale, fresh, boiled  ",34.6 ,M&S kale  ,Marks & Spencer  ,170g  ,26.10.15  ,"Marks & Spencer, Sweet Briar Retail Park, Norwich  ",Best before Date:  ,,2063G SC2063  ,Plastic  ,Chilled  ,Chilled  
721,34 ,"Curly kale, fresh, boiled  ",34.7 ,Oaklands British curly kale  ,Oaklands  ,200g  ,26.10.15  ,"Lidl, Drayton Road, Norwich  ",Best before Date:  ,,W3638 4305  ,Plastic  ,Chilled  ,Chilled  
723,34 ,"Curly kale, fresh, boiled  ",34.8 ,Asda Grower’s Selection British unwashed sliced curly ,Asda Grower’s Selection  ,200g  ,02.11.15  ,,Best before Date:  ,,Site: 730000  Batch: E 02397 S K305 12:54  ,Plastic  ,Chilled  ,Chilled  
725,34 ,"Curly kale, fresh, boiled  ",34.9 ,The Co -operative Loved by Us British sliced curly kale  ,The Co -operative Loved by Us  ,160g  ,26.10.15  ,"The Co -operative, Long Stratton , Norfolk  ",Best before Date:  ,,M233 P6197/1/2  ,Plastic  ,Chilled  ,Chilled  
727,34 ,"Curly kale, fresh, boiled  ",34.10  ,Farm Shop curly kale  ,Pack size:  ,Purchase Date:  ,13.10.15  ,"Independent Farm Shop, Mulbarton , Norfolk  ",Best before  Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
729,34 ,"Curly kale, fresh, boiled  ",34.11  ,Swithenbank cabbage curly kale  ,Swithenbank  ,1kg ,15.10.15  ,Bidvest Foodservice delivery  ,Best before Date:  ,,Packaging:  ,Loose in cardboard  ,Chilled  ,Chilled  
731,,"Swede, fresh, boiled  ",35.1 ,Tesco British small swede  ,Tesco  ,Min. 400g  ,26.10.15  ,"Tesco, Harford Bridges, Norwich  ",,,SC:DR DD2 (M)  ,Plastic  ,Ambient  ,Chilled  
733,35 ,"Swede, fresh, boiled  ",35.2 ,Tesco British large swede  ,Tesco  ,Min. 700g  ,26.10.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC:DR LU (H)  ,Plastic  ,Ambient  ,Chilled  
735,35 ,"Swede, fresh, boiled  ",35.3 ,Asda Grower’s Selection diced swede  ,Asda  ,500g  ,26.10.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,295 06:48 195 S ASP1512185  ,Plastic  ,Chilled  ,Chilled  
737,35 ,"Swede, fresh, boiled  ",35.4 ,Sainsbury’s swede  ,Sainsbury’s  ,Min. 525g  ,26.10.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,7572548 08.14  ,Plastic  ,Ambient  ,Chilled  
739,35 ,"Swede, fresh, boiled  ",35.5 ,Morrisons swede  ,Morrisons  ,Min. 500g  ,02.11.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,8600 LA53705508 221332 TH1 VEG20 303 03:48 HK ,Plastic  ,Ambient  ,Chilled  
741,35 ,"Swede, fresh, boiled  ",35.6 ,Simply M&S British swede  ,Simply M&S  ,500g  ,26.10.15  ,"Marks & Spencer, Sweet Briar Retail Park, Norwich  ",Best before Date:  ,,1945 M  ,Plastic  ,Chilled  ,Chilled  
743,35 ,"Swede, fresh, boiled  ",35.7 ,Lidl swede  ,Lidl ,Purchase Date:  ,26.10.15  ,"Lidl, Drayton Road, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
745,35 ,"Swede, fresh, boiled  ",35.8 ,Asda Grower’s Selection diced swede  ,Asda  ,500g  ,02.11.15  ,"Asda, Boundary Road, Norwich  ",Use By Date:  ,,303 08:02 195 8 ASP1512185  ,Plastic  ,Chilled  ,Chilled  
747,35 ,"Swede, fresh, boiled  ",35.9 ,The Co -operative Loved by Us British swede  ,The Co -operative Loved by Us  ,500g  ,26.10.15  ,"The Co -operative, Long Stratton , Norwich  ",Best before Date:  ,,M194 P5535/1/1  ,Plastic  ,Chilled  ,Chilled  
749,35 ,"Swede, fresh, boiled  ",35.10  ,Farm Shop swede  ,Pack size:  ,Purchase Date:  ,13.10.15  ,"Independent Farm Shop, Mulbarton , Norfolk  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
751,35 ,"Swede, fresh, boiled  ",35.11  ,Bidvest Foodservice swede  ,Bidvest Foodservice  ,Purchase Date:  ,12.10.15  ,Bidvest Foodservice delivery  ,Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
753,36 ,"Aubergine, boiled, flesh an d skin  ",36.1 ,Tesco aubergine  ,Tesco  ,Purchase Date:  ,28.09.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
755,36 ,"Aubergine, boiled, flesh and skin  ",36.2 ,Tesco aubergine  ,Tesco  ,Purchase Date:  ,16.11.15  ,"Tesco Extra, Blue Boar Road, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
757,36 ,"Aubergine, boiled, flesh and skin  ",36.3 ,Asda aubergine  ,Asda  ,Purchase Date:  ,10.12.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
759,36 ,"Aubergine, boiled, flesh and skin  ",36.4 ,Sainsbury’s aubergine  ,Sainsbury’s  ,Purchase Date:  ,05.10.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,C0482  ,Loose  ,Ambient  ,Chilled  
761,36 ,"Aubergine, boiled, flesh and skin  ",36.5 ,Morrisons aubergine  ,Morrisons  ,Purchase Date:  ,17.11.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
763,36 ,"Aubergine, boiled, flesh and skin ",36.6 ,Waitrose aubergine  ,Waitrose  ,Purchase Date:  ,18.11.15  ,"Waitrose, Wymondham , Norfolk  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
765,36 ,"Aubergine, boiled, flesh and skin  ",36.7 ,Lidl aubergine  ,Lidl ,Purchase Date:  ,28.09.15  ,"Lidl, Drayton Road, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
767,36 ,"Aubergine, boiled, flesh and skin  ",36.8 ,Sainsbury’s Basics aubergine  ,Sainsbury’s Basics  ,500g  ,28.09.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,6610672 09.13 CO482A  ,Plastic  ,,Chilled  
769,36 ,"Aubergine, boiled, flesh and skin  ",36.9 ,The Co -operative Loved by Us aubergine  ,The Co -operative Loved by Us  ,Purchase Date:  ,16.11.15  ,"The Co-operative, Long Stratton , Norfolk  ",Best before Date:  ,,Supplied by: MO38SS  ,Plastic  ,Chilled  ,Chilled  
771,36 ,"Aubergine, flesh and skin, boiled  ",36.10  ,Greengrocer’s aubergine  ,Pack size:  ,Purchase Date:  ,30.09.15  ,"Independent greengrocer, Gloucester Street, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
773,36 ,"Aubergine, boiled, flesh and skin  ",36.11  ,Farm Fresh aubergine  ,Farm Fresh  ,"300-400g, count x 2  ",28.09.15  ,"Booker, Norwich  ",Best before Date:  ,,Nr. 3441741 274 B 3631 CW Verp.KCB:879  ,Plastic  ,Chilled  ,Chilled  
775,37 ,"Aubergine, roasted  in rapeseed oil , flesh and skin  ",37.1 ,Tesco aubergine  ,Tesco  ,Purchase Date:  ,28.09.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
777,37 ,"Aubergine, roasted in rapeseed oil , flesh and skin  ",37.2 ,Tesco aubergine  ,Tesco  ,Purchase Date:  ,16.11.15  ,"Tesco Extra, Blue Boar Road, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
779,37 ,"Aubergine, roasted in rapeseed oil , flesh and skin  ",37.3 ,Asda aubergine  ,Asda  ,Purchase Date:  ,10.12.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
781,37 ,"Aubergine, roasted in rapeseed oil , flesh and skin  ",37.4 ,Sainsbury’s aubergine  ,Sainsbury’s  ,Purchase Date:  ,05.10.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,C0482  ,Loose  ,Ambient  ,Chilled  
783,37 ,"Aubergine, roasted in rapeseed oil , flesh and skin  ",37.5 ,Morrisons aubergine  ,Morrisons  ,Purchase Date:  ,17.11.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
785,37 ,"Aubergine, roasted in rapeseed oil , flesh and skin  ",37.6 ,Waitrose aubergine  ,Waitrose  ,Purchase Date:  ,18.11.15  ,"Waitrose, Wymondham , Norfolk  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
787,37 ,"Aubergine, roasted in rapeseed oil , flesh and skin  ",37.7 ,Lidl aubergine  ,Lidl ,Purchase Date:  ,28.09.15  ,"Lidl, Drayton Road, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
789,37 ,"Aubergine, roasted in rapeseed oil , flesh and skin  ",37.8 ,Sainsbury’s Basics aubergine  ,Sainsbury’s Basics  ,500g  ,28.09.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,6610672 09.13CO482A  ,Plastic  ,Ambient  ,Chilled  
791,37 ,"Aubergine, roasted in rapeseed oil , flesh and skin  ",37.9 ,The Co -operative Loved by Us aubergine  ,The Co -operative Loved by Us  ,Purchase Date:  ,16.11.15  ,"The Co -operative, Long Stratton , Norfolk  ",Best before Date:  ,,Supplied by: MO38SS  ,Plastic  ,Chilled  ,Chilled  
793,37 ,"Aubergine, roasted in rapeseed oil , flesh and skin  ",37.10  ,Greengrocer’s aubergine  ,Pack size:  ,Purchase Date:  ,30.09.15  ,"Independent greengrocer, Gloucester Street, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
795,,"Aubergine, roasted in rapeseed oil , flesh and skin  ",37.11  ,Farm Fresh aubergine  ,Farm Fresh  ,"300-400g, count x 2  ",28.09.15  ,"Booker, Norwich  ",Best before Date:  ,,Nr. 3441741 274 B 3631 CW Verp.KCB:879  ,Plastic  ,Chilled  ,Chilled  
797,38 ,"Okra, boiled  ",38.1 ,Tesco okra  ,Tesco  ,175g  ,28.09.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,Supplier code: SC:WD02  ,Plastic  ,Chilled  ,Chilled  
799,38 ,"Okra, boiled  ",38.2 ,Tesco okra  ,Tesco  ,175g  ,05.10.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,Supplier code: SC:WD02  ,Plastic  ,Chilled  ,Chilled  
801,38 ,"Okra, boiled  ",38.3 ,Asda okra  ,Asda  ,Purchase Date:  ,28.09.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
803,38 ,"Okra, boiled  ",38.4 ,Sainsbury’s okra  ,Sainsbury’s  ,Purchase  Date:  ,,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
805,38 ,"Okra, boiled  ",38.5 ,Morrisons okra  ,Morrisons  ,200g  ,05.10.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,1360/MWW  ,Plastic  ,Ambient  ,Chilled  
807,38 ,"Okra, boiled  ",38.6 ,Waitrose okra  ,Waitrose   ,175g  ,28.09.15  ,"Waitrose, Eaton, Norwich  ",Best before Date:  ,,Supplier 284GKB 10.14  ,Plastic  ,Chilled  ,Chilled  
809,38 ,"Okra, boiled  ",38.7 ,Tesco okra  ,Tesco  ,175g  ,19.10.15  ,"Tesco Extra, Blue Boar Road, Norwich  ",Best before Date:  ,,Supplier code: SC:WD02  ,Plastic  ,Chilled  ,Chilled  
811,38 ,"Okra, boiled  ",38.8 ,Sainsbury’s okra  ,Sainsbury’s  ,175g  ,19.10.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,422185 15.14 W0710G  ,Plastic  ,Chilled  ,Chilled  
813,38 ,"Okra, boiled  ",38.9 ,Sainsbury’s okra  ,Sainsbury’s  ,175g  ,19.10.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,W0710G  ,Plastic  ,Chilled  ,Chilled  
815,38 ,"Okra, boiled  ",38.10  ,Asda okra  ,Asda  ,Purchase Date:  ,19.10.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
817,38 ,"Okra, boiled  ",38.11  ,Zenith okra  ,Zenith International Produce Ltd  ,1-1.8kg  ,19.10.15  ,Bidvest Foodservice delivery  ,Best before Date:  ,,74977 203629 -23 X847 bin no. B13B2  ,Loose in cardboard  ,Chilled  ,Chilled  
819,39 ,"Watercress, raw  ",39.1 ,Tesco Wessex watercress  ,Tesco  ,85g ,28.09.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,L6 21:30 UKHCW 0988  ,Plastic  ,Chilled  ,Chilled  
821,39 ,"Watercress, raw  ",39.2 ,Tesco watercress  ,Tesco  ,85g ,16.11.15  ,"Tesco Extra, Blue Boar Road, Norwich  ",Use By Date:  ,,L4 11:27 USACW 1003  ,Plastic  ,Chilled  ,Chilled  
823,39 ,"Watercress, raw  ",39.3 ,Asda Grower’s Selection watercress  ,Asda Grower’s Selection  ,85g ,16.11.15  ,"Asda, Boundary Road, Norwich  ",Use By Date:  ,,L3 15:18 127B ASP1418850  ,Plastic  ,Chilled  ,Chilled  
825,39 ,"Watercress, raw  ",39.4 ,Sainsbury’s baby leaf watercress  ,Sainsbury’s  ,80g ,28.09.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,05 1500 266 H0604 7745699 04.15  ,Plastic  ,Chilled  ,Chilled  
827,39 ,"Watercress, raw  ",39.5 ,Morrisons watercress  ,Morrisons   ,85g ,28.09.15  ,"Morrisons, Albion Way, Norwich  ",Use By Date:  ,,1424/1 20:30 G 1424 T47734/0514  ,Plastic  ,Chilled  ,Chilled  
829,39 ,"Watercress, raw  ",39.6 ,Waitrose hot & peppery watercress  ,Waitrose   ,100g  ,06.10.15  ,"Waitrose, Eaton , Norwich  ",Best before Date:  ,,165A 08:27L5 UKHCW0995 389757/109 01:15  ,Plastic  ,Chilled  ,Chilled  
831,39 ,"Watercress, raw  ",39.7 ,Tesco watercress  ,Tesco  ,85g ,19.10.15  ,"Tesco Extra, Blue Boar Road, Norwich  ",Use By Date:  ,,ESPCW 1292 L6 19:34  ,Plastic  ,Chilled  ,Chilled  
833,39 ,"Watercress, raw  ",39.8 ,Morrisons watercress  ,Morrisons   ,85g ,16.11.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,1424/1 18:27 G 1424 T47734/0514  ,Plastic  ,Chilled  ,Chilled  
835,39 ,"Watercress, raw  ",39.9 ,Morrisons watercress  ,Morrisons   ,85g ,19.10.15  ,"Morrisons, Albion Way, Norwich  ",Use By Date:  ,,1424/1 14:09A 1424 T47734/0514  ,Plastic  ,Chilled  ,Chilled  
837,39 ,"Watercress, raw  ",39.10  ,Hairspring watercress  ,Hairspring Watercress Ltd   ,Purchase Date:  ,30.10.15  ,,Best before Date:  ,,Packaging:  ,Loose/bunch  ,Chilled  ,Chilled  
839,39 ,"Watercress, raw  ",39.11  ,Fresha water cress  ,Fresha  ,100g  ,16.10.15  ,Bidvest Foodservice delivery  ,Best before Date:  ,,Packaging:  ,Plastic  ,Chilled  ,Chilled  
841,40 ,"Runner beans, fresh, boiled  ",40.1 ,Tesco British runner beans  ,Tesco  ,255g  ,11.08.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC:WD03  ,Plastic  ,Chilled  ,Chilled  
843,40 ,"Runner beans, fresh, boiled  ",40.2 ,Tesco runner beans  ,Tesco  ,255g  ,09.11.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC:HM3T  ,Plastic  ,Chilled  ,Chilled  
