,0,1,2,3
2339,1 level tablespoon,15g,,
2340,I portion pack,12g,,
2341,Mint jelly average portion,20g,,
2342,,,A,
2343,,Mint sauce,average portion,JOg
2344,,,1 teaspoon,7g
2345,,Mustard,"average portion, smooth type",2g
2346,,,I sachet,5g
2347,,,"average portion, whole grain type",14g
2348,,Onion sauce,average portion,62g
2349,,Parsley sauce,average portion,62g
2350,,Pesto,1 tablespoon,26g
2351,,Pickle,"with ploughman's, average portion",40g
2352,,,I heaped teaspoon,15g
2353,,,1 tablespoon,40g
2354,,,1 portion pack,20g
2355,,Pickled beetroot,1 average,35g
2356,,Pickled cabbage,1 tablespoon,45g
2357,,Pickled gherkin,1 small,8g
2358,,,1 medium,25g
2359,,,"1 large, pickled cucumber",60g
2360,,Pickled onion,1 average,15g
2361,,,1 large,25g
2362,,,1 silverskin onion,2g
2363,,Prawn cocktail sauce,average,40g
2364,,Redcurrant jelly,1 teaspoon,99
2365,,Relish,in burger,15g
2366,,,1 heaped teaspoon,15g
2367,,Salad cream,average with salad,20g
2368,,,1 sachet,12g
2369,,Savoury sauces,see white sauce,
2370,82.0,,,
2371,Soup,small average portion,150g,
2372,,medium average portion,220g,
2373,,large average portion,300g,
2374,,main course soup,260g,
2375,,starter soup,]90g,
2376,,"cup-a-soup, made up",215g,
2377,,large can,405g,
2378,,small can,300g,
2379,,vending machine soup,170g,
2380,Soy sauce,1 teaspoon,5g,
2381,Sweet 'n' sour sauce,average portion,150g,
2382,,Burger King,25g,
2383,,McDonalds,32g,
2384,Tartare sauce,average serving,30g,
2385,,1 sachet,12g,
2386,Thousand island dressing,1 tablespoon,30g,
2387,Tomato ketchup,I sachet,12g,
2388,,1 portion pack,20g,
2389,Tomato sauce,"average, with meatifishlpasta",90g,
2390,White sauce,"with meatlfishlvegetables, small",30g,
2391,,medium,62g,
2392,,large,90g,
2393,,SAVOURY SNACKS,,
2394,,All weights given per bag,,
2395,,Apple Crackles,,20g
2396,,Bacon Fries,,25g/50g
2397,,Bensons Crinkle Cut,,33g
2398,,Bombay mix,Sharwoods,JOOg
2399,,,Golden Glow,28g
2400,,,Percy Dalton,30g
2401,,Brannigans,,37g
2402,,Californian corn chips,,lOOg
2403,,Cheeky Chicken,,18g
2404,,Cheese Quavers,,20g
2405,,Cheese Savouries,,33g
2406,,Cheese Snips,,30g
2407,,Cheeselets,,25g
2408,,Crinkles,,40g
2409,,Crisps,small,25/27/28/30g
2410,,,mediumlmaxi,40g
2411,,,large,75g
2412,,,family pack,JOOg
2413,,,1 large crisp,2g
2414,,Dinobites,,18g
2415,,Discos,,18g/29g
2416,,Farmhouse jackets,,40g
2417,84.0,,,
2418,Frazzles,,27g,
2419,Frisps,,28g,
2420,Garlic mini breads,,28g,
2421,Golden lights,,25g,
2422,Good 'n' Crunchy Crisps,,35g,
2423,Groovers,,30g,
2424,Horizons,,50g,
2425,Hula Hoops,,30g,
2426,Jack Spratt's lower fat,,,
2427,snacks,,35g,
2428,Jackets,,28g,
2429,Japanese Rice Crackers,,56g,
2430,Jumbo Jaws,,26g,
2431,Kettle Chips,,50g/100g,
2432,Krunchie Puffs,cheese,99,
2433,,salt & vinegar,JOg,
2434,Krunchie Onion Rings,salt & vinegar,99,
2435,Krunchie Sticks,,19g,
2436,McCoys Cracker Snacks,,40g,
2437,Mean Beans,,21g,
2438,Mexican Chips,,30g,
2439,Mignons Morceau,,125g,
2440,,,,A
2441,,Monster Munch,,27g
2442,,Nik Naks,,35g
2443,,Oatsters,,28g/50g
2444,,Odduns,,26g
2445,,On Yums,pickled onion,18g
2446,,Onion Rings,,50g
2447,,Petrified Prawn,,18g
2448,,Pork Crackles,,24g
2449,,Pork Scratchings,,22g
2450,,Prawn Crackers,,30g/40g
2451,,,Chinese take-away,70g
2452,,Pringles,"Original, per tube",200g
2453,,Quarterbacks,"cheese burger, burger pickle",20g
2454,,Quavers,,20g
2455,,Real McCoys,,40g
2456,,Ringos,,24g
2457,,Ritz Sandwich,pack of 4,33g
2458,,Roysters,,28g
2459,,Ruffles,,28g
2460,,Savoury Huggy Bears,,25g
2461,,Savoury Moments,,28g/50g
2462,86.0,,,
2463,Scampi Fries,,27g,
2464,Skips,,18g,
2465,Space Raiders,,19g,
2466,Spicy Popadums,,30g,
2467,Solos,,25g,
2468,Square Crisps,,25g,
2469,Stackers,,lOOg,
2470,Supa Krunchie Onion Rings,fried onion,18g,
2471,Supa Krunchies,,,
2472,Supa Krunchies,cheese & tomato,18g,
2473,,salt & vinegar,19g,
2474,Taco,1 shell,lOg,
2475,Tangy Toms,,9g/18g,
2476,Thunder Cats,,18g,
2477,Tortilla Chips,,50g/l00g,
2478,Transform-A-snack,,20g,
2479,Ttibaloops,,20g,
2480,Twiglets,,25g/50g/l00g,
2481,Wheatcrunchies,,35g,
2482,Whickettes,,50g,
2483,Wotsits,,25g,
2484,,,,I
2485,,Yankee Stars,9g/20g,
2486,88.0,,,
2487,"SUGARS, PRESERVES AND SWEET SAUCES",,,
2488,Brandy butter average portion,30g,,
2489,"Brandy sauce, rum sauce average portion",60g,,
2490,"Cherry glacé or maraschino, 1",5g,,
2491,Chocolate sauce average portion,60g,,
2492,Chocolate spread 1 average spreading on 1 slice of bread,20g,,
2493,1 heaped teaspoon,16g,,
2494,1 level teaspoon,8g,,
2495,"Custard See Puddings, chilled desserts and fruit",,,
2496,pies,,,
2497,Honey 1 average spreading on 1 slice of bread,20g,,
2498,1 heaped teaspoon,17g,,
2499,1 level teaspoon,8g,,
2500,1 portion pack,28g,,
2501,Ice-cream topping sauce average topping,28g,,
2502,"Jam, marmalade, lemon",,,
2503,curd 1 average spreading on 1 slice of bread,15g,,
2504,1 heaped teaspoon,18g,,
2505,1 level teaspoon,8g,,
2506,1 individual carton,20g,,
2507,1 mini glass jar,28g/43g,,
2508,Maple syrup serving on waffles,55g,,
2509,Marmalade see jam,,,
2510,Sugar 1 cube,5g,,
2511,1 heaped teaspoon,6g,,
2512,1 level teaspoon,4g,,
2513,1 'packet' sugar,6g,,
2514,1 tablespoon,20g,,
2515,VEGETABLES,,,
2516,Artichoke,"one globe heart, edible portion",50g,
2517,Asparagus,5 spears,125g,
2518,Aubergine,"half including skin, cooked",130g,
2519,Baked beans,"in tomato sauce, small portion",80g,
2520,,medium portion,135g,
2521,,large portion,190g,
2522,,1 small can,150g/205g,
2523,,1 large can,420g,
2524,,-,,
2525,,1 tablespoon,40g,
2526,,"with sausage, small can, beans",I70g,
2527,,sausage,55g,
2528,,"large can, beans",305g,
2529,,sausage,I45g,
2530,,"with burgerbites, chickbits, small can,",,
2531,,beans,170g,
2532,,burgerbites/chickbits,55g,
2533,Beanburger,"Burger King, with bun",240g,
2534,,"Wimpy, with bun",235g,
2535,Beans,"broad, 2 tablespoons",120g,
2536,,"french, small portion",60g,
2537,,medium portion,90g,
2538,,large portion,120g,
2539,,"dried, boiled, 2 tablespoons",60g,
2540,,"red kidney, 1 heaped tablespoon",,
2541,,cooked beans,35g,
2542,,"runner, small portion",60g,
2543,,medium portion,90g,
2544,,large portion,120g,
2545,Beansprouts,1 tablespoon,20g,
2546,Beetroot,1 small whole,35g,
2547,,per slice,lOg,
2548,,average portion,40g,
2549,Bhindi,see okra,,
2550,Broccoli spears/calabrese,"1 spear, boiled",45g,
2551,,"boiled, small portion",60g,
2552,,medium portion,85g,
2553,,large portion,hOg,
2554,Brussels sprouts,"average serving, 9 sprouts",90g,
2555,,small portion,60g,
2556,,medium portion,90g,
2557,,large portion,I20g,
2558,Bubble and squeak,"fried, average portion",200g,
2559,"Cabbage, boiled","any, small portion",60g,
2560,,medium portion,95g,
2561,,large portion,120g,
2562,,"red/white, raw, 1⁄4 small cabbage",90g,
2563,Calabrese,"1 spear, boiled",45g,
2564,Carrots,"boiled, small portion",40g,
2565,,medium portion,60g,
2566,,large portion,85g,
2567,,"canned, 1 medium carrot",12g,
2568,,"1 small, boiled",30g,
2569,,"1 medium, boiled",80g,
2570,,"1 large, boiled",140g,
2571,,a few slices,20g,
2572,,1 tablespoon,40g,
2573,Cauliflower,I floret,lOg,
2574,,"boiled, small portion",60g,
2575,,"boiled, medium portion",90g,
2576,,"boiled, large portion",120g,
2577,,Bhaji,140g,
2578,,"cauliflower cheese, see Cheese dishes",,
2579,Celery,1 stick,30g,
2580,,"boiled, small portion",30g,
2581,,medium portion,50g,
2582,,large portion,80g,
2583,,,,~I
2584,,Chick peas,1 heaped tablespoon cooked peas,35g
2585,,,"2-3 tablespoons, cooked",90g
2586,,,"paste, hummous, 1 tablespoon",30g
2587,,,average portion,60g
2588,,,"chick pea curry, from takeaway",210g
2589,,Chinese leaves,1 large leaf,40g
2590,,Chips,see potato chips,
2591,,Coleslaw,1 tablespoon,45g
2592,,,1 small tub,120g
2593,,,1 large tub,250g
2594,,,"take-away portion, Kentucky",JOOg
2595,,,1 can,210g
2596,,Corn-on-the-cob,see sweetcorn,
2597,,Courgettes,1 medium cooked,JOOg
2598,,,1 large cooked,I50g
2599,,,small portion,60g
2600,,,medium portion,90g
2601,,,large portion,120g
2602,,Cress,see mustard and cress,
2603,,Cucumber,1 slice,6g
2604,,,"1"" piece",60g
2605,,,average in salad,23g
2606,,French fries,see potato chips,
2607,,Green banana,I whole boiled,140g
2608,,Leeks,"I medium, boiled",160g
2609,,,"stem, white portion only",80g
2610,,,average serving,75g
2611,,Lentils,"boiled, 1 tablespoon",40g
2612,,,boiled (20z raw),I20g
2613,~ 972,,,
2614,Lettuce,4 small leaves,20g,
2615,,"round, average serving in salad",30g,
2616,,"iceberg, average serving in salad",80g,
2617,Marrow,average serving,65g,
2618,Mixed bean salad,small can,210g,
2619,,1 tablespoon,30g,
2620,Mixed vegetables,average serving,90g,
2621,Mushrooms,"button, raw, 1 small",5g,
2622,,I medium,JOg,
2623,,1 large,20g,
2624,,"breaded, average serving",hOg,
2625,,"fried, average serving",44g,
2626,,"stewed, average serving",56g,
2627,Mustard and cress,1 tablespoon,5g,
2628,,in sandwich,,
2629,,quarter of a punnet,lOg,
2630,Okra,"ladies fingers, bhindi, 1 medium",5g,
2631,,"bhindi bhaji, okra",,
2632,,curry,250g,
2633,Onion,"raw, 1 small",60g,
2634,,1 medium,150g,
2635,,1 large,240g,
2636,,1 slice,20g,
2637,,"bhaji, fried, 1 average",35g,
2638,,"boiled, average serving",60g,
2639,,"fried, average serving",40g,
2640,,"pickled, 1 average",15g,
2641,,1 large,25g,
2642,,"rings, battered, average portion",lOOg,
2643,,"spring, 1",lOg,
2644,Parsnips,"average portion, small",40g,
2645,,medium,65g,
2646,,large,85g,
2647,,,1 tablespoon,50g
2648,,,1 medium baked,90g
2649,,Peas,"average portion, small",40g
2650,,,medium,70g
2651,,,large,JOOg
2652,,,1 tablespoon,30g
2653,,,"mushy, average portion",80g
2654,,,"mushy, fish and chip shop, average",
2655,,,portion,125g
2656,,,"canned, 1 tablespoon",30g
2657,,Pepper,"green or red, 1 medium",160g
2658,,,"sliced, 1 ring",lOg
2659,,,half a stuffed pepper,175g
2660,,Plantain,"1 whole, boiled",200g
2661,,Potatoes,"baked, jacket, small with skin",lOOg
2662,,,without skin,88g
2663,,,"medium, with skin",180g
2664,,,without skin,160g
2665,,,"large, with skin",220g
2666,,,without skin,195g
2667,,,"boiled, I average old potato",60g
2668,,,1 average new potato,40g
2669,,,"1 average portion, small",120g
2670,,,medium,175g
2671,,,large,220g
2672,,,"cakes, fried, each",80g
2673,,,"chips, 1 chip",lOg
2674,,,"chips, average portion, small",lOOg
2675,,,medium,165g
2676,,,large,240g
2677,,,"average portion, fish and chip",
2678,,,shop chips,210g
2679,,,average portion 'french fries',hOg
2680,,,"Burger King, small",75g
2681,,,regular,116g
2682,,,large,142g
2683,~11,,,
2684,,"Kentucky, french fries, regular",130g,
2685,,large,165g,
2686,,"McDonald's, french fries, regular",77g,
2687,,medium,hOg,
2688,,large,155g,
2689,,"Wimpy, french fries",hOg,
2690,,"crisps, see Savoury snacks",,
2691,,"croquette, fried, 1 average",90g,
2692,,"grilled, 1 average",80g,
2693,,"crunchies, fried, 1",99,
2694,,"grilled, 1",6g,
2695,,average portion,90g,
2696,,"duchesse, 1",30g,
2697,,"fritter, 1",I20g,
2698,,"hashbrowns, Burger King (6)",58g,
2699,,"mashed, portions as boiled",,
2700,,1 tablespoon,45g,
2701,,1 scoop,OOg,
2702,,1 forkful,30g,
2703,,"pancakes, baked/grilled",50g,
2704,,fried,56g,
2705,,"roast, 1 small potato",50g,
2706,,1 medium potato,85g,
2707,,1 large potato,130g,
2708,,average portion,200g,
2709,,"salad, 1 tablespoon",45g,
2710,,1 average portion,85g,
2711,,1 tub,250g,
2712,,1 can,210g/440g,
2713,,"sauté, average portion",lOOg,
2714,,"scallops, average portion",150g,
2715,,"waffles, 1 grilled",45g,
2716,Radish,1 average,8g,
2717,Ratatouille,1 tablespoon,30g,
2718,,average serving,180g,
2719,"Salads, various",1 tub,200g/250g,
2720,Sauerkraut,1 tablespoon,30g,
2721,,,,95.0
2722,Spinach,average serving,90g,
2723,,1 tablespoon,40g,
2724,Spring onion,1 average,JOg,
2725,Spring roll,"average, fried",60g,
2726,Swede,"boiled, small portion",40g,
2727,,medium portion,60g,
2728,,large portion,85g,
2729,Sweet potatoes,"boiled, 2 medium",130g,
2730,Sweetcorn,"kernels only, 1 tablespoon",30g,
2731,,average portion,85g,
2732,,"1 corn-on-the-cob, kernels only",125g,
2733,,"fritter, 1",85g,
2734,Tomato,1 small,65g,
2735,,I medium,85g,
2736,,"I large, e.g. beefsteak tomato",150g,
2737,,1 slice,17g,
2738,,1 cherry tomato,15g,
2739,,average in salad,34g,
2740,,"peeled tomatoes, large can",400g,
2741,Turnip,"boiled, see swede",,
2742,,1 whole boiled,hOg,
2743,Vegeburger,"average, fried",56g,
2744,Vegetable casserole/stew,small average portion,180g,
2745,,medium average portion,260g,
2746,,large average portion,360g,
2747,Vegetable curry,"1 serving, 3-4 tablespoons",200g,
2748,Vegetable pastie,,155g,
2749,Vegetable salad,"in mayonnaise, 1 tablespoon",45g,
2750,,can,210g/440g,
2751,Vegetable samosa,"1 average, purchased",75g,
2752,,average portion (2),lOOg,
2753,Vegetable spring roll,average,óOg,
2754,Watercress,quarter of a bunch,20g,
2755,Yam,"boiled, size of a medium potato",130g,
2756,,,,97.0
2757,YOGHURTS AND FROMAGE FRAIS,,,
2758,Yoghurt,,,
2759,1 tablespoon low fat,40g,,
2760,1 tablespoon thick/Greek,45g,,
2761,Yoghurt is generally purchased in,,,
2762,cartons of 125g or 150g. Examples of,,,
2763,some common brands in each category,,,
2764,are listed below:,,,
2765,"125g pots Boots Shapers, fruit",,,
2766,"Chambourcy Disney, fruit",,,
2767,"Chambourcy Disney, set",,,
2768,"Country Love, thick & creamy fruit",,,
2769,Danone Bio,,,
2770,Danone Bio—fruit on the bottom,,,
2771,Danone Bio Lite,,,
2772,"Eden Vale, French style",,,
2773,"Kool live, real fruit set",,,
2774,Marks & Spencer Bio,,,
2775,"Munch Bunch, real fruit",,,
2776,"Munch Bunch, set",,,
2777,"Own brand, diet, very low fat, fruit",,,
2778,"Own brand, low fat, French set",,,
2779,"St Ivel Shape, French Style set",,,
2780,"St Ivel, low fat",,,
2781,"St Ivel, Fiendish Faces",,,
2782,"St Ivel, Shape, low fat fruit",,,
2783,St lye! Real,,,
2784,"Safeway Bio layer, low fat",,,
2785,"Sainsburys Bio, wholegrain fruit",,,
2786,Sainsburys Diet Bio natural,,,
2787,"Sainsburys Mr Men, 'no bits'",,,
2788,"Sainsburys wholemilk, organic",,,
2789,Ski Bio,,,
2790,Ski Diet,,,
2791,"Thunderbirds, low fat",,,
2792,"150g pots Eden Vale, natural",,,
2793,"La Laitibre, whole milk, fruit (bottles)",,,
2794,,"Marks & Spencer Lite, very low fat",,
2795,,"Marks & Spencer, mild & thick, low fat,",,
2796,,high fruit,,
2797,,"Own brand, Bio",,
2798,,"Own brand, Bio, diet",,
2799,,"Own brand, low fat, fruit",,
2800,,"Own brand, thick & creamy, fruit",,
2801,,"Safeway, rich & creamy",,
2802,,"Ski, extra fruit",,
2803,,"Ski, fruit",,
2804,Other fruit yoghurts,"Boots, low fat",170g,
2805,,Cuisine light,175g,
2806,,"Dairy Fresh, real fruit, low fat",115g,
2807,,Loseley,140g,
2808,,Muller light,200g,
2809,Baby yoghurts,Cow & Gate (jar),150g,
2810,,St Ivel Baby & Toddler,90g,
2811,Custard style yoghurts,Boots,I50g,
2812,,"Boots, low fat",170g,
2813,,Safeway,I25g,
2814,,Sainsburys,125g,
2815,,Somerfield,150g,
2816,,Tesco,125g,
2817,,Waitrose,150g,
2818,Frozen yoghurt,Average portion,56g,
2819,,Boots frozen yoghurt in tubs,lOOg,
2820,Greek yoghurt,Marks & Spencer Greek Style,125g,
2821,,"Own brand, Greek style, diet fruit/fruit/",,
2822,,natural,150g,
2823,,Total Greek,200g/500g,
2824,Pasteurised fruit yoghurts,Dairy Crest,125g,
2825,,Fruit Basket,250g,
2826,,Fruittis,125g,
2827,,St Ivel Prize,125g,
2828,Sheeps milk yoghurt,"Woodlands Park, fruit",142g,
2829,,"Woodlands Park, natural",,
2830,Split yoghurts,Boots Bio Split—yoghurt,140g,
2831,,—fruit,35g,
2832,,Cuisine Chocolate Crunch—yoghurt,130g,
2833,,—biscuit,20g,
2834,,"Marks & Spencer Lite, yoghurt and fruit",150g,
2835,,"Marks & Spencer Swiss style, yoghurt",,
2836,,and fruit,175g,
2837,,Marks & Spencer Swiss style yoghurt,,
2838,,and muesli,150g,
2839,,Muller Crunch Corner—banana yoghurt,135g,
2840,,—chocoflakes,15g,
2841,,Muller Crunch Corner—wholemilk,,
2842,,yoghurt,150g,
2843,,"—cereal, nuts and",,
2844,,raisins,25g,
2845,,Muller Crunch Corner—wholemilk,,
2846,,yoghurt,150g,
2847,,—muesli,25g,
2848,,Muller Fruit Corner—yoghurt,135g,
2849,,—fruit,40g,
2850,,Muller Honey Corner—yoghurt,135g,
2851,,—honey,40g,
2852,,St Ivel Shape twin pot—yoghurt,135g,
2853,,—fruit,35g,
2854,,Safeway Double Treat,175g,
2855,,Sainsburys Duet—yoghurt,135g,
2856,,—fruit,40g,
2857,,Sainsburys Duet Diet—yoghurt,115g,
2858,,—fruit,25g,
2859,,Ski Bio Split—yoghurt,I35g,
2860,,—fruit,40g,
2861,,Tesco Fruit Plus Split,175g,
2862,,Tesco Healthy Eating Fruit Plus,140g,
2863,,Tesco Thick & Creamy,I75g,
2864,Soya yoghurt,Granose,120g,
2865,Whipped yoghurt/Yoghurt,,,
2866,mousse,Boots,lOOg,
2867,,Boots Shapers,lOOg,
2868,,Marks & Spencer Whisp (lightly,,
2869,,whipped),125g,
2870,,"St Ivel Prize (lightly whipped) pack of 4,",,
2871,,each,90g,
2872,,St Lye! Prize (lightly whipped) singles,112g,
2873,Yoghurt and cream desserts,Boots Delights,130g,
2874,,Heinz yoghurt dessert for babies (jar),150g,
2875,Yoghurt drinks,Boots drinking yoghurt,200g,
2876,,Ski Cool (750 ml),795g,
2877,,Ski Cool (200 ml),212g,
2878,,"Yop, large",700g,
2879,,"Yop, standard",200g,
2880,Fromage Frais,,,
2881,,1 tablespoon,45g,
2882,,Fromage frais is generally purchased in,,
2883,,cartons of 60g or 100g. Examples of,,
2884,,some common brands in each category,,
2885,,are listed below:,,
2886,60g pots,"Chambourcy, with fruit purée",,
2887,,Danone Petit Gervais chocolate,,
2888,,"Marks & Spencer, creamy with fruit",,
2889,,pieces,,
2890,,Petits Filous—small,,
2891,,Safeway—small,,
2892,,"Safeway, very low fat",,
2893,,"Sainsburys, petit with fruit pieces",,
2894,,"Somerfield, low fat",,
2895,,Thunderbirds,,
2896,lOOg pots,"Marks & Spencer, creamy with fruit",,
2897,,purée,,
2898,,Petit Danone—large,,
2899,,Petits Filous—.-large,,
2900,,"St Ivel Shape, virtually fat free",,
2901,,Safeway—large,,
2902,,"Sainsburys, creamy with fruit",,
2903,,"Sainsburys, very low fat, diet",,
2904,,"Sainsburys, virtually fat free with fruit",,
2905,,pieces,,
2906,,Tesco,,
2907,,"Yoplait, fruit on the bottom",,
2908,,Yoplait light fruit,,
2909,Other fromage frais,"Country Love, fruit",150g,
2910,,Hippo Tots,50g,
2911,,Marks & Spencer Coco the Clown,42g,
2912,,Munch Bunch Pot Shots,42g,
2913,,Onken,200g,
2914,,Petit Danone—small,50g,
2915,,St Ivel Fiendish Faces,50g,
2916,Baby fromage frais,Baby Danone,60g,
2917,,Heinz (jar),163g,
2918,,Pnnted in the United Kingdom for HMSO,,
2919,,0d297273 12/93 C15 0531 10170,,
