Food Code,Food Name,Description,Group,Previous,Main data references,Footnote,Energy (kJ),Energy (kcal),Fat (g),Saturates (g),Carbohydrate (g),Sugars (g),Starch (g),Fibre (g),Protein (g),Salt (g),Food_Category,Super_Category,FPS_Weight,FVS_Weight,Standardized_Weight
13-323,"Plantain, green flesh, raw",Literature sources.,DG,50-806 ,"As Vegetables, Herbs and Spices Supplement (1991) 13-323",,508,120,0.3,0.1,27.1,5.5,21.5,2.2,1.1,0.01,Uncategorized,Other,,,
13-569,"Plantain, ripe, fried in rapeseed oil",8 samples. Most unspecified vegetable oils are made from rapeseed oil,DG,13-325 ,"Vegetables, Herbs and Spices Supplement, 1991. Vitamin K1 from Bolton-Smith et al Br.J.Nutr. 83, 2000.",,1138,271,9.2,0.69,43.9,11.2,32.7,3.2,1.5,0.01,Nuts and seeds,Plant-based foods,,,
14-316,"Plums, average, flesh and skin, stewed with sugar, weighed with stones",Calculated from 14-314,FA,14-216 50-952 ,"LGC, Nutritional composition of fresh fruit, 1985-1986",,314,74,0.1,0,16.4,16.4,0,1.2,0.5,0.01,Sugars and confectionery,Processed foods,,,
14-315,"Plums, average, flesh and skin, stewed without sugar","500g fruit, 100g water; stones removed",FA,14-217 ,"LGC, Nutritional composition of fresh fruit, 1985-1986",,160,38,0.1,0,7.3,7.3,0,1.3,0.5,0.01,Sugars and confectionery,Processed foods,,,
14-317,"Plums, average, flesh and skin, stewed without sugar, weighed with stones",Calculated from 14-315,FA,14-218 50-953 ,"LGC, Nutritional composition of fresh fruit, 1985-1986",,152,36,0.1,0,6.9,6.9,0,1.2,0.5,0.01,Sugars and confectionery,Processed foods,,,
14-314,"Plums, average, stewed with sugar, flesh and skin","1350g fruit, 100g water, 162g sugar; stones removed",FA,14-215 ,"LGC, Nutritional composition of fresh fruit, 1985-1986",,330,78,0.1,0,17.3,17.3,0,1.3,0.5,0.01,Sugars and confectionery,Processed foods,,,
14-372,"Plums, dessert, flesh and skin, raw","11 samples, mixture of UK and imported, including red, purple and yellow",FA,14-300,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,211,50,0.3,0.02,9.7,9.7,0,1.3,0.6,0,Uncategorized,Other,,,
14-374,"Plums, dessert, flesh and skin, raw, weighed with stones",Calculated from 14-372,FA,14-313,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,201,47,0.2,0.02,9.4,9.4,0,1.3,0.6,0,Uncategorized,Other,,,
14-220,"Plums, Victoria, flesh and skin, raw",Flesh and skin,FA,,"LGC, Nutritional composition of fresh fruit, 1985-1986",,203,48,0.1,0,9.5,9.5,0,1.8,0.6,0.01,Uncategorized,Other,,,
14-221,"Plums, Victoria, flesh and skin, raw, weighed with stones",Calculated from 14-220,FA,,"LGC, Nutritional composition of fresh fruit, 1985-1986",,190,45,0.1,0,8.9,8.9,0,1.7,0.5,0.01,Uncategorized,Other,,,
14-222,"Plums, Victoria, stewed without sugar","700g fruit, 100g water; stones removed",FA,,"LGC, Nutritional composition of fresh fruit, 1985-1986",,177,42,0.1,0,8.2,8.2,0,1.6,0.5,0.01,Sugars and confectionery,Processed foods,,,
14-223,"Plums, Victoria, stewed without sugar, weighed with stones",Calculated from 14-222,FA,,"LGC, Nutritional composition of fresh fruit, 1985-1986",,170,40,0.1,0,7.8,7.8,0,1.5,0.5,0.01,Sugars and confectionery,Processed foods,,,
14-224,"Plums, yellow, flesh and skin, raw",Literature sources;,FA,,"Cashel et al. (1989) Compositon of Foods, Australia. Volume 1",,133,31,0.1,0,5.8,5.8,0,1,0.5,0,Uncategorized,Other,,,
14-225,"Plums, yellow, flesh and skin, raw, weighed with stones",Calculated from 14-224,FA,,"Fruit and Nuts Supplement, 1992",,127,30,0.1,0,5.5,5.5,0,1,0.5,0,Uncategorized,Other,,,
11-905,"Polenta, hydrated, raw","4 samples, 2 products, corn based",AT,,"LGC, Nutrient survey of flours and grains, 2005",,295,70,0.4,0.05,13.8,0,13.8,1.7,1.9,1.35,Uncategorized,Other,,,
16-436,"Pollock, Alaskan, flesh only, baked","Frozen and chilled, calculated from raw 16-378 using 41.8% weight loss",JA,,"DH, Nutrient analysis of fish and fish products, 2013",,524,124,1.2,0.24,0,0,0,0,28.2,0.29,Bakery products,Processed foods,,,
16-378,"Pollock, Alaskan, flesh only, raw","9 samples, 8 products, frozen and chilled",JA,16-123 ,"DH, Nutrient analysis of fish and fish products, 2013",,304,72,0.7,0.14,0,0,0,0,16.4,0.17,Uncategorized,Other,,,
16-437,"Pollock, Alaskan, flesh only, steamed",Calculated from 16-378 using 40% weight loss,JA,,"DH, Nutrient analysis of fish and fish products, 2013",,510,120,1.2,0.23,0,0,0,0,27.4,0.29,Non-alcoholic beverages,Beverages,,,
14-341,Pomegranate juice drink,with added sugar,FC,14-288 ,"MW1, 1940; and industry data, 2013",,204,48,0.0,0,11.6,11.6,0,0,0.2,0,Non-alcoholic beverages,Beverages,,,
14-226,"Pomegranate, flesh and pips",Analysis and literature sources;,FA,,"Reviewed 2013. Fruit and Nuts Supplement, 1992",,263,62,0.2,0,11.8,11.8,0,2.3,1.3,0.01,Uncategorized,Other,,,
14-227,"Pomegranate, flesh and pips, weighed with skin",Calculated from 14-226,FA,,"Fruit and Nuts Supplement, 1992",,170,40,0.1,0,7.7,7.7,0,1.5,0.9,0,Uncategorized,Other,,,
14-228,"Pomelo, flesh only",Literature sources;,FA,,"Fruit and Nuts Supplement, 1992",,147,35,0.2,0,6.7,6.7,0,1.7,0.6,0,Uncategorized,Other,,,
14-229,"Pomelo, flesh only, weighed with peel and pips",Calculated from 14-228,FA,,"Fruit and Nuts Supplement, 1992",,90,21,0.1,0,4.1,4.1,0,1,0.4,0,Uncategorized,Other,,,
16-124,"Pomfret, black, raw",Literature sources,JA,,"Gopalan et al (1980) Nutritive value of Indian foods, and Wu Leung et al (1972) Food composition table for use in East Asia",,415,98,2.6,0.7,0,0,0,0,18.8,0.28,Uncategorized,Other,,,
16-125,"Pomfret, white, raw",Literature sources,JA,,"Fish and Fish Products Supplement, 1993",,389,92,2.1,0.6,0,0,0,0,18.3,0.24,Uncategorized,Other,,,
17-691,"Popcorn, candied",Estimated from 2013 label data,SN,17-130 ,"Industry data, 2013",,2023,484,23.8,N,55.8,14.3,41.5,9.5,6.9,0,Uncategorized,Other,75.0,,75.0
17-692,"Popcorn, salted, retail",Estimated from label data,SN,17-131 ,"Industry data, 2013",,2014,482,23.5,N,53.9,0.6,53.4,9.3,9.0,1.83,Uncategorized,Other,75.0,,75.0
13-849,Poppy seeds,Literature sources,G,14-866 ,"As Vegetables, Herbs and Spices Supplement, 1991 (13-849) with fats and fatty acids from Fatty Acid Supplement, 1998 (14-866)",,2367,573,47.1,6.8,7,3,4,19.5,20.6,0.05,Nuts and seeds,Plant-based foods,,,
19-665,"Pork chops in mustard and cream, homemade",Recipe,MR,19-616,Updated 2020,,1092,263,19.4,7.61,1,1,0,0.2,15.5,0.5,Uncategorized,Other,,,
19-666,"Pork chops in mustard and cream, homemade, weighed with bone",Recipe,MR,19-617,Updated 2020,,956,231,17.0,6.66,0.9,0.9,0,0.1,13.6,0.44,Uncategorized,Other,,,
19-467,"Pork pie, individual","10 samples, 10 products",MR,,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2013",,1552,373,26.0,10.12,23.4,1.4,22,2.9,9.9,1.36,Uncategorized,Other,,,
17-132,Pork scratchings,"19 samples, 4 brands",SN,17-477 ,"Reviewed 2013. LGC, Survey of the nutritional composition of savoury snacks and nuts, 1993; fatty acids from Fatty Acid Supplement, 1998",,2522,607,46.0,16.58,0.2,0.2,0,0.3,47.9,3.3,Uncategorized,Other,,,
18-555,"Pork, belly joint, roasted, lean and fat","10 samples, 65% lean and 35% fat",MAG,243 18-208,"LGC, Nutrient analysis of retail cuts of pork, 1992-1993",,1219,293,21.4,7.43,0,0,0,0,25.1,0.23,Oils and fats,Other,,,
18-556,"Pork, belly joint/slices, grilled, lean and fat","25 samples, 58% lean and 42% fat",MAG,50-418 18-209,"Reviewed 2013. LGC, Nutrient analysis of retail cuts of pork, 1992-1993",,1331,320,23.4,8.23,0,0,0,0,27.4,0.24,Oils and fats,Other,,,
18-557,"Pork, belly joint/slices, raw, lean and fat",12 samples,MAG,18-206,"LGC, Nutrient analysis of retail cuts of pork, 1992-1993",,1073,258,20.2,7.25,0,0,0,0,19.1,0.17,Oils and fats,Other,,,
18-558,"Pork, belly joint/slices, raw, lean and fat, weighed with bone",Calculated from 18-557,MAG,50-417 18-207,"LGC, Nutrient analysis of retail cuts of pork, 1992-1993",,987,238,18.6,6.67,0,0,0,0,17.6,0.19,Oils and fats,Other,,,
18-216,"Pork, crackling, cooked","From various cuts of pork, grilled and roasted",MAG,,"LGC, Nutrient analysis of retail cuts of pork, 1992-1993",,2280,550,45.0,15.3,0,0,0,0,36.2,0.33,Uncategorized,Other,,,
18-527,"Pork, diced, casseroled, lean",Extra lean types. Calculated from 18-512,MAG,18-482,"QIB, Report on nutrient analysis of key cuts of pork, 2020",,821,195,5.3,1.75,0,0,0,0,36.8,0.22,Uncategorized,Other,,,
18-528,"Pork, diced, casseroled, lean and fat",Extra lean types. Calculated from 98% lean and 2% fat,MAG,18-220,"QIB, Report on nutrient analysis of key cuts of pork, 2020",,854,203,6.4,2.14,0,0,0,0,36.3,0.22,Oils and fats,Other,,,
18-540,"Pork, diced, kebabs, grilled, lean",Extra lean types. Calculated from 18-529,MAG,18-221,"QIB, Report on nutrient analysis of key cuts of pork, 2020",,845,200,5.4,1.8,0,0,0,0,37.9,0.23,Uncategorized,Other,,,
18-541,"Pork, diced, kebabs, grilled, lean and fat",Extra lean types. Calculated from 98% lean and 2% fat,MAG,18-222,"QIB, Report on nutrient analysis of key cuts of pork, 2020",,877,208,6.5,2.19,0,0,0,0,37.4,0.23,Oils and fats,Other,,,
18-529,"Pork, diced, raw, lean",Extra lean types. Data as for pork leg (18-512),MAG,18-217,"QIB, Report on nutrient analysis of key cuts of pork, 2020",,515,122,3.3,1.1,0,0,0,0,23.1,0.14,Uncategorized,Other,,,
18-530,"Pork, diced, raw, lean and fat",Extra lean types. Calculated from 98% lean and 2% fat,MAG,18-218,"QIB, Report on nutrient analysis of key cuts of pork, 2020",,554,132,4.5,1.54,0,0,0,0,22.8,0.14,Oils and fats,Other,,,
18-559,"Pork, fat, average, cooked","Average of 5 different cuts, including roasted, grilled, fried in corn oil and braised",MAG,50-415 18-415 18-205,"Reviewed 2013. LGC, Nutrient analysis of retail cuts of pork, 1992-1993; vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,2124,515,50.9,17.9,0,0,0,0,14.2,0.17,Oils and fats,Other,,,
18-600,"Pork, fat, average, raw","Average of 8 different cuts, trimmed of lean",MAG,50-414 18-436 18-203,"Reviewed 2013. LGC, Nutrient analysis of retail cuts of pork, 1992-1993; vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,2259,548,56.4,20.4,0,0,0,0,10.1,0.12,Oils and fats,Other,,,
18-531,"Pork, fillet medallions, grilled lean",Calculated from 18-510,MAG,18-226,"QIB, Report on nutrient analysis of key cuts of pork, 2020",,646,152,0.8,0.25,0,0,0,0,36.3,0.17,Uncategorized,Other,,,
18-532,"Pork, fillet medallions, grilled, lean and fat",Calculated from 98% lean and 2% fat,MAG,18-227,"QIB, Report on nutrient analysis of key cuts of pork, 2020",,680,161,1.9,0.67,0,0,0,0,35.9,0.17,Oils and fats,Other,,,
18-510,"Pork, fillet medallions, raw, lean","10 samples, 6 products, chilled",MAG,,"QIB, Report on nutrient analysis of key cuts of pork, 2020",,406,96,0.5,0.16,0,0,0,0,22.8,0.11,Uncategorized,Other,,,
18-511,"Pork, fillet medallions, raw, lean and fat",Calculated from 98% lean and 2% fat. No fat removed.,MAG,18-225,"QIB, Report on nutrient analysis of key cuts of pork, 2020",,450,106,1.8,0.65,0,0,0,0,22.6,0.11,Oils and fats,Other,,,
18-533,"Pork, fillet strips, stir-fried in rapeseed oil, lean",Calculated from 18-510,MAG,18-228,"QIB, Report on nutrient analysis of key cuts of pork, 2020",,709,168,2.7,0.38,0,0,0,0,35.8,0.17,Nuts and seeds,Plant-based foods,,,
18-601,"Pork, hand, shoulder joint, raw, lean",10 samples,MAG,18-229,"LGC, Nutrient analysis of retail cuts of pork, 1992-1993",,509,121,4.2,1.36,0,0,0,0,20.8,0.18,Uncategorized,Other,,,
18-602,"Pork, hand, shoulder joint, raw, lean and fat",Calculated from 73% lean and 26% fat,MAG,18-230,"LGC, Nutrient analysis of retail cuts of pork, 1992-1993",,908,218,16.2,5.3,0,0,0,0,18.1,0.17,Oils and fats,Other,,,
18-603,"Pork, hand, shoulder joint, roasted, lean",10 samples,MAG,18-233,"LGC, Nutrient analysis of retail cuts of pork, 1992-1993",,849,202,8.8,3.02,0,0,0,0,30.8,0.2,Uncategorized,Other,,,
18-604,"Pork, hand, shoulder joint, roasted, lean and fat",Calculated from 71% lean and 27% fat,MAG,18-234,"LGC, Nutrient analysis of retail cuts of pork, 1992-1993",,1078,259,16.5,5.7,0,0,0,0,27.5,0.19,Oils and fats,Other,,,
18-608,"Pork, lean, average, raw","Average of 6 different cuts, trimmed of fat",MAG,18-201,"QIB, Report on nutrient analysis of key cuts of pork, 2020 and LGC, Nutrient analysis of retail cuts of pork, 1992-1993",,492,117,3.1,1.04,0,0,0,0,22.2,0.14,Uncategorized,Other,,,
18-512,"Pork, leg joint, raw, lean","11 samples, 11 products, chilled",MAG,18-235,"QIB, Report on nutrient analysis of key cuts of pork, 2020",,515,122,3.3,1.1,0,0,0,0,23.1,0.14,Uncategorized,Other,,,
18-514,"Pork, leg joint, raw, lean and fat","Calculated from 81% lean and 19% fat. No fat removed, not including skin.",MAG,18-483,"QIB, Report on nutrient analysis of key cuts of pork, 2020",,894,215,15.0,5.32,0,0,0,0,19.9,0.13,Oils and fats,Other,,,
18-513,"Pork, leg joint, raw, lean and fat, trimmed",Calculated from 96% lean and 4% fat. Subcutaneous fat and skin removed.,MAG,,"QIB, Report on nutrient analysis of key cuts of pork, 2020",,596,142,5.8,1.99,0,0,0,0,22.4,0.14,Oils and fats,Other,,,
18-515,"Pork, leg joint, roasted, lean","11 samples, 11 products, chilled. Roasted medium",MAG,18-484,"QIB, Report on nutrient analysis of key cuts of pork, 2020",,785,186,5.9,2.04,0,0,0,0,33.3,0.15,Uncategorized,Other,,,
18-517,"Pork, leg joint, roasted, lean and fat","Calculated from 81% lean and 19% fat. No fat removed, not including crackling.",MAG,18-485,"QIB, Report on nutrient analysis of key cuts of pork, 2020",,1091,261,15.9,5.64,0,0,0,0,29.6,0.13,Oils and fats,Other,,,
18-516,"Pork, leg joint, roasted, lean and fat, trimmed",Calculated from 96% lean and 4% fat. Subcutaneous fat and crackling removed,MAG,,"QIB, Report on nutrient analysis of key cuts of pork, 2020",,852,203,8.1,2.85,0,0,0,0,32.5,0.14,Oils and fats,Other,,,
18-534,"Pork, loin chops, grilled, lean",Data as for pork loin steak (18-524),MAG,18-251,"QIB, Report on nutrient analysis of key cuts of pork, 2020",,815,194,5.9,2.15,0,0,0,0,35.1,0.14,Uncategorized,Other,,,
18-535,"Pork, loin chops, grilled, lean and fat",Calculated from 89% lean and 11% fat,MAG,18-252,"QIB, Report on nutrient analysis of key cuts of pork, 2020",,991,237,11.5,4.27,0,0,0,0,33.3,0.14,Oils and fats,Other,,,
18-536,"Pork, loin chops, raw, lean and fat",Calculated from 83% lean and 17% fat,MAG,18-246,"QIB, Report on nutrient analysis of key cuts of pork, 2020",,795,191,11.7,4.38,0,0,0,0,21.3,0.11,Oils and fats,Other,,,
18-537,"Pork, loin chops, raw, lean and fat, weighed with bone",Calculated from 18-536,MAG,18-247,"QIB, Report on nutrient analysis of key cuts of pork, 2020",,678,163,10.0,3.72,0,0,0,0,18.1,0.1,Oils and fats,Other,,,
18-613,"Pork, loin chops, roasted, lean",Calculated from 18-521,MAG,18-255,"QIB, Report on nutrient analysis of key cuts of pork, 2020",,829,196,4.2,1.46,0,0,0,0,39.6,0.21,Uncategorized,Other,,,
18-610,"Pork, loin chops, roasted, lean and fat",Calculated from 87% lean and 13% fat,MAG,18-256,"QIB, Report on nutrient analysis of key cuts of pork, 2020",,1037,247,11.4,4.04,0,0,0,0,36.2,0.19,Oils and fats,Other,,,
18-611,"Pork, loin chops, roasted, lean and fat, weighed with bone",Calculated from 18-610,MAG,18-257,"QIB, Report on nutrient analysis of key cuts of pork, 2020",,799,191,8.8,3.11,0,0,0,0,27.9,0.15,Oils and fats,Other,,,
18-518,"Pork, loin medallions, raw, lean","10 samples, 8 products, chilled",MAG,,"QIB, Report on nutrient analysis of key cuts of pork, 2020",,473,112,1.9,0.65,0,0,0,0,23.7,0.1,Uncategorized,Other,,,
18-519,"Pork, loin medallions, raw, lean and fat",Calculated from 94% lean and 6% fat. No fat removed.,MAG,,"QIB, Report on nutrient analysis of key cuts of pork, 2020",,591,141,5.4,1.96,0,0,0,0,23.0,0.1,Oils and fats,Other,,,
18-520,"Pork, loin medallions, raw, lean and fat, trimmed",Calculated from 98% lean and 2% fat. Subcutaneous fat removed.,MAG,,"QIB, Report on nutrient analysis of key cuts of pork, 2020",,513,122,3.1,1.09,0,0,0,0,23.4,0.1,Oils and fats,Other,,,
18-538,"Pork, loin steaks, fried in rapeseed oil, lean",Calculated from 18-521,MAG,18-265,"QIB, Report on nutrient analysis of key cuts of pork, 2020",,750,178,4.7,1.09,0,0,0,0,33.9,0.18,Nuts and seeds,Plant-based foods,,,
18-539,"Pork, loin steaks, fried in rapeseed oil, lean and fat",Calculated from 86% lean and 14% fat,MAG,18-266,"QIB, Report on nutrient analysis of key cuts of pork, 2020",,983,235,12.0,3.94,0,0,0,0,31.7,0.17,Nuts and seeds,Plant-based foods,,,
18-524,"Pork, loin steaks, grilled, lean","11 samples, 11 products, chilled",MAG,18-285,"LGC, Nutrient analysis of retail cuts of pork, 1992-1993",,815,194,5.9,2.15,0,0,0,0,35.1,0.14,Non-alcoholic beverages,Beverages,,,
18-526,"Pork, loin steaks, grilled, lean and fat","Calculated from 86% lean and 14% fat. No fat removed, not including crackling.",MAG,18-286,"QIB, Report on nutrient analysis of key cuts of pork, 2020",,1034,247,12.9,4.83,0,0,0,0,32.8,0.13,Oils and fats,Other,,,
18-525,"Pork, loin steaks, grilled, lean and fat, trimmed",Calculated from 96% lean and 4% fat. Subcutaneous fat and crackling removed.,MAG,,"QIB, Report on nutrient analysis of key cuts of pork, 2020",,881,210,8.0,2.94,0,0,0,0,34.4,0.14,Oils and fats,Other,,,
18-521,"Pork, loin steaks, raw, lean","11 samples, 11 products, chilled",MAG,18-283,"QIB, Report on nutrient analysis of key cuts of pork, 2020",,464,110,1.9,0.66,0,0,0,0,23.2,0.12,Non-alcoholic beverages,Beverages,,,
18-522,"Pork, loin steaks, raw, lean and fat","Calculated from 84% lean and 16% fat. No fat removed, not including skin.",MAG,18-284 18-264,"QIB, Report on nutrient analysis of key cuts of pork, 2020",,779,187,11.2,4.16,0,0,0,0,21.4,0.11,Oils and fats,Other,,,
18-523,"Pork, loin steaks, raw, lean and fat, trimmed",Calculated from 94% lean and 6% fat. Subcutaneous fat and skin removed.,MAG,,"QIB, Report on nutrient analysis of key cuts of pork, 2020",,586,140,5.5,2.04,0,0,0,0,22.5,0.12,Oils and fats,Other,,,
18-605,"Pork, loin steaks, stewed, lean",Calculated from 18-521,MAG,18-287,"QIB, Report on nutrient analysis of key cuts of pork, 2020",,664,157,2.7,0.94,0,0,0,0,33.2,0.18,Non-alcoholic beverages,Beverages,,,
18-612,"Pork, loin steaks, stewed, lean and fat",Calculated from 87% lean and 13% fat,MAG,18-288,"QIB, Report on nutrient analysis of key cuts of pork, 2020",,890,212,9.7,3.61,0,0,0,0,31.3,0.16,Oils and fats,Other,,,
18-606,"Pork, mince, raw",10% fat mince. 10 samples,MAG,255 18-267,"LGC, Nutrient analysis of retail cuts of pork, 1992-1993",,685,164,9.7,3.57,0,0,0,0,19.2,0.17,Uncategorized,Other,,,
18-607,"Pork, mince, stewed",10% fat mince. 10 samples,MAG,256 18-268,"LGC, Nutrient analysis of retail cuts of pork, 1992-1993",,799,191,10.4,3.9,0,0,0,0,24.4,0.15,Uncategorized,Other,,,
18-542,"Pork, shoulder chops (collar), braised, lean",26 samples,MAG,18-271,"LGC, Nutrient analysis of retail cuts of pork, 1992-1993",,892,213,10.1,3.57,0,0,0,0,30.5,0.15,Uncategorized,Other,,,
18-543,"Pork, shoulder chops (collar), braised, lean and fat",Calculated from 87% lean and 13% fat,MAG,18-272,"LGC, Nutrient analysis of retail cuts of pork, 1992-1993",,1032,247,15.0,5.5,0,0,0,0,28.1,0.15,Oils and fats,Other,,,
18-544,"Pork, shoulder chops (collar), braised, lean and fat, weighed with bone",Calculated from 18-543,MAG,18-273,"LGC, Nutrient analysis of retail cuts of pork, 1992-1993",,793,190,11.5,4.2,0,0,0,0,21.6,0.11,Oils and fats,Other,,,
18-545,"Pork, shoulder chops (collar), raw, lean and fat",Calculated from 93% lean and 7% fat,MAG,18-269,"LGC, Nutrient analysis of retail cuts of pork, 1992-1993",,773,186,12.4,4.5,0,0,0,0,18.5,0.16,Oils and fats,Other,,,
18-546,"Pork, shoulder chops (collar), raw, lean and fat, weighed with bone",Calculated from 18-545,MAG,18-270,"LGC, Nutrient analysis of retail cuts of pork, 1992-1993",,611,147,9.8,3.5,0,0,0,0,14.6,0.12,Oils and fats,Other,,,
18-547,"Pork, shoulder joint (collar), pot-roasted, lean",10 samples,MAG,18-276,"LGC, Nutrient analysis of retail cuts of pork, 1992-1993",,843,201,9.0,3.2,0,0,0,0,30.0,0.16,Uncategorized,Other,,,
18-548,"Pork, shoulder joint (collar), pot-roasted, lean and fat",Calculated from 67% lean and 32% fat,MAG,18-277,"LGC, Nutrient analysis of retail cuts of pork, 1992-1993",,1081,260,18.0,6.7,0,0,0,0,24.4,0.16,Oils and fats,Other,,,
18-549,"Pork, shoulder joint (collar), raw, lean and fat",Calculated from 74% lean and 26% fat,MAG,18-274,"LGC, Nutrient analysis of retail cuts of pork, 1992-1993",,906,218,16.4,6,0,0,0,0,17.6,0.15,Oils and fats,Other,,,
18-550,"Pork, shoulder joint (collar), raw, lean and fat, weighed with bone",Calculated from 18-549,MAG,18-275,"LGC, Nutrient analysis of retail cuts of pork, 1992-1993",,670,161,12.1,4.4,0,0,0,0,13.1,0.11,Oils and fats,Other,,,
18-551,"Pork, shoulder steaks (collar), grilled, lean and fat",10 samples,MAG,18-280,"LGC, Nutrient analysis of retail cuts of pork, 1992-1993",,1218,292,19.5,7.49,0,0,0,0,29.2,0.35,Oils and fats,Other,,,
18-552,"Pork, shoulder steaks (collar), grilled, lean and fat, weighed with bone",Calculated from 39% lean and 6% fat,MAG,18-281,"LGC, Nutrient analysis of retail cuts of pork, 1992-1993",,549,132,8.8,3.4,0,0,0,0,13.1,0.16,Oils and fats,Other,,,
18-554,"Pork, shoulder steaks (collar), raw, lean and fat",Calculated from 86% lean and 13% fat,MAG,18-282,"LGC, Nutrient analysis of retail cuts of pork, 1992-1993",,390,94,6.4,3.7,0,0,0,0,9.0,0.12,Oils and fats,Other,,,
18-553,"Pork, shoulder steaks (collar), raw, lean and fat, weighed with bone",Calculated from 41% lean and 6% fat,MAG,18-279,"LGC, Nutrient analysis of retail cuts of pork, 1992-1993",,702,168,10.4,2.5,0,0,0,0,18.7,0.16,Oils and fats,Other,,,
19-670,"Pork, spare ribs, 'barbecue style', homemade",Recipe,MR,19-620,Updated 2020,,1252,301,22.3,6.11,4,3.4,0.5,0.8,20.8,1.92,Uncategorized,Other,,,
19-671,"Pork, spare ribs, 'barbecue style', homemade, weighed with bone",Recipe,MR,19-621,Updated 2020,,584,141,10.4,2.82,1.8,1.6,0.3,0.4,9.7,0.89,Uncategorized,Other,,,
19-264,"Pork, spare ribs, 'barbecue style', meat only, retail, reheated","5 samples including American and Chinese style and hot and spicy ribs. 80-90% meat, chilled and frozen",MR,19-262,"Reviewed 2013. LGC, Nutrient analysis of foods commonly consumed by schoolchildren, 1995",,1178,282,17.1,6.2,5.5,4.2,1.3,0.6,26.3,1.1,Meat and meat products,Animal-based foods,,,
19-265,"Pork, spare ribs, 'barbecue style', meat only, retail, reheated, weighed with bone","Calculated from 19-264, chilled and frozen",MR,19-263,"Meat Products and Dishes Supplement, 1996",,386,93,6.0,2.2,0.5,0,0.5,0,9.2,0.38,Meat and meat products,Animal-based foods,,,
18-499,"Pork, spare ribs, Chinese barbecue, takeaway","10 samples, 2 from different establishments in each of 5 regions.",MAG,,"Aspland and James Ltd, Nutrient analysis of ethnic takeaway foods, 1997",,N,N,18.7,N,N,N,N,N,22.1,1.21,Uncategorized,Other,,,
19-672,"Pork, spare ribs, in black bean sauce, meat and sauce only, homemade",Recipe,MR,19-618,Updated 2020,,907,218,14.5,5.27,5.6,4.9,0.6,0.3,14.4,1.94,Meat and meat products,Animal-based foods,,,
19-673,"Pork, spare ribs, in black bean sauce, meat and sauce only, homemade, weighed with bone",Recipe,MR,19-619,Updated 2020,,516,124,8.2,5.27,3.2,2.8,0.4,0.3,8.2,1.1,Meat and meat products,Animal-based foods,,,
18-609,"Pork, spare ribs, raw, lean and fat",10 samples,MAG,18-278,"LGC, Nutrient analysis of retail cuts of pork, 1992-1993",,813,195,13.4,5.27,0,0,0,0,18.7,0.25,Oils and fats,Other,,,
19-667,"Pork, stir-fried with vegetables, homemade",Recipe,MR,19-622,Updated 2020,,440,105,2.9,0.58,2.5,1.2,1.3,0.5,16.4,0.84,Vegetables,Plant-based foods,,,
19-668,"Pork, sweet and sour, made with lean pork, homemade",Recipe,MR,19-634,Updated 2020,,682,163,6.3,1.02,10.1,7,3.2,0.5,14.5,0.16,Sugars and confectionery,Processed foods,,,
19-669,"Pork, sweet and sour, made with sweet and sour cook in sauce",Recipe,MR,19-633,Updated 2020,,632,150,4.9,1.11,11,9.8,1.3,0.4,15.3,0.41,Sugars and confectionery,Processed foods,150.0,,150.0
18-429,"Pork, trotters and tails, boiled with added salt",23% trotters and 77% pig tails. Salt added,MG,50-427 ,"As Meat, Poultry and Game Supplement, 1995",,1162,280,22.3,9.63,0,0,0,0,19.8,4.05,Oils and fats,Other,,,
11-788,"Porridge oats, unfortified","18 samples, 10 products, Quaker and other/own brands",A,11-017 ,"LGC, Nutrient survey of breakfast cereals, 2004",,1654,392,8.1,1.28,64.3,0.3,64,7.8,11.7,0,Uncategorized,Other,,,
11-789,"Porridge oats, unfortified, cooked, made up with semi-skimmed milk","18 samples, 10 products, Quaker and other/own brands",A,,"LGC, Nutrient survey of breakfast cereals, 2004",,361,86,2.3,1.03,11.2,3.9,7.3,1,4.6,0.1,Milk and milk products,Animal-based foods,,,
11-1106,"Porridge, made with milk and water",Recipe,AI,11-633 ,Updated 2014,,307,73,1.9,0.71,10.3,2.3,8,1,3.2,0.06,Milk and milk products,Animal-based foods,,,
11-1107,"Porridge, made with water",Recipe. Ref. Wiles et al. (1980),AI,11-569 ,Updated 2014,,205,49,1.0,0.16,8,0,8,1,1.4,0,Non-alcoholic beverages,Beverages,,,
11-1108,"Porridge, made with whole milk",Recipe,AI,11-570 ,Updated 2014,,471,112,4.7,2.54,12.2,4.5,7.7,0.9,4.9,0.11,Milk and milk products,Animal-based foods,,,
17-234,Port,"19-21% ABV, 2 samples",QF,50-1113 ,"Reviewed 2013. MW4, 1978. Additional data from 50-1113",,665,159,0.0,0,11.9,11.9,0,0,0.1,0.01,Uncategorized,Other,,,
